Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2020-02-17 15:52:10,2,1,1,1,0.7041985,0.8213277,Evan Ma,14,Evan Ma,Max Cohen,Eliot Bemis,,,
2020-02-17 15:55:58,3,1,0,0,0.8053435,0.81920904,Andrew Edelman,4,,,,Swan,,
2020-02-17 15:57:12,4,1,1,0,0.75763357,0.91031075,Owen Marschall,3,,,,Odie,,
2020-02-17 15:57:53,4,2,1,1,0.3110687,0.26200566,Victor Kao,1,,Victor Kao,Sam Pollack,,,
2020-02-17 16:00:00,6,1,1,1,0.4923664,0.6440678,Owen Marschall,5,Evan Ma,Sam Pollack,Eliot Bemis,,,
2020-02-17 16:01:48,7,1,0,1,0.259542,0.26271185,Ruozhou Ye,1,,Ruozhou Ye,Towell,,,
2020-02-17 16:03:27,8,1,0,1,0.026717557,0.61793786,Ruozhou Ye,2,Ruozhou Ye,Carter Wang,Sam Alston,,,
2020-02-17 16:05:40,9,1,0,1,0.629771,0.81850284,Victor Kao,5,Victor Kao,Jon Kwan,Swan,,,
2020-02-17 16:07:58,11,1,1,0,0.65839696,0.7944915,Evan Ma,6,,,,Odie,,
2020-02-17 16:10:57,12,1,1,1,0.22900763,0.8079096,Ruozhou Ye,7,Jesse Gan,Andrew Edelman,Josh Imhoff,,,
2020-02-17 16:12:59,13,1,1,1,0.53435117,0.6341808,Max Cohen,3,Odie,Max Cohen,Eliot Bemis,,,
2020-02-17 16:15:18,14,1,0,0,0.65648854,0.4435028,Ruozhou Ye,1,,,,Ruozhou Ye,,
2020-02-17 16:16:31,15,1,1,1,0.7099237,0.72669494,Owen Marschall,11,Max Cohen,Victor Kao,Owen Marschall,,,
2020-02-17 16:19:20,16,1,0,1,0.4446565,0.59039545,Andrew Edelman,1,,Andrew Edelman,Josh Imhoff,,,
2020-02-17 16:20:50,18,1,1,1,0.48091602,0.63559324,Evan Ma,14,Odie,Ian McInerney,Evan Ma,,,
2020-02-17 16:23:02,19,1,0,1,0.97709924,0.8121469,Nadav Pearl,8,Victor Kao,Nadav Pearl,Josh Imhoff,,,
2020-02-17 16:25:50,20,1,0,1,0.20610687,0.40960452,Ruozhou Ye,3,Jesse Gan,Geo Zheng,Swan,,,
