Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2020-02-27 21:51:40,2,1,1,0,0.5038168,0.81920904,Victor Kao,7,,,,Victor Kao,,
2020-02-27 21:53:46,2,2,1,0,0.04389313,0.8128531,Max Cohen,1,,,,Max Cohen,,
2020-02-27 21:54:28,3,1,1,1,0.1889313,0.7881356,Owen Marschall,5,Max Cohen,Jeff Voss,Carter Thallon,,,
2020-02-27 21:55:47,5,1,1,0,0.22519083,0.8559322,Victor Kao,3,,,,,Odie,
2020-02-27 21:57:09,6,1,1,0,0.82251906,0.7168079,Owen Marschall,6,,,,Sam Pollack,,
2020-02-27 21:59:09,7,1,1,0,0.0,0.7492938,Alon Brown,6,,,,Andrew Edelman,Ruozhou Ye,
2020-02-27 22:00:50,7,2,1,1,0.8721374,0.53531075,Ruozhou Ye,8,Alon Brown,Sam Alston,Ruozhou Ye,,,
2020-02-27 22:02:45,9,1,1,1,0.2977099,0.90183616,Evan Ma,19,Ian McInerney,Eliot Bemis,Gabe Stump,,,
2020-02-27 22:06:03,10,1,0,0,0.057251908,0.7740113,Andrew Edelman,3,,,,Towell,,
2020-02-27 22:07:12,11,1,1,0,0.51717556,0.6532486,Max Cohen,3,,,,Odie,,
2020-02-27 22:08:25,12,1,1,1,0.9446565,0.71398306,Owen Marschall,3,Max Cohen,Jeff Voss,Eliot Bemis,,,
2020-02-27 22:11:25,14,1,1,0,0.5629771,0.70621467,Victor Kao,3,,,,Victor Kao,,
2020-02-27 22:12:30,15,1,1,1,0.71755725,0.86440676,Geo Zheng,13,Towell,Ruozhou Ye,Alon Brown,,,
2020-02-27 22:14:29,16,1,0,0,0.9446565,0.605226,Andrew Edelman,12,,,,Alon Brown,,
2020-02-27 22:16:37,17,1,1,0,0.5954198,0.86864406,Evan Ma,11,,,,Ian McInerney,,
2020-02-27 22:19:20,17,2,1,1,0.26717559,0.83121467,Victor Kao,7,Eliot Bemis,Ian McInerney,Victor Kao,,,
2020-02-27 22:21:46,18,1,1,0,0.53435117,0.74223167,,4,,,,Carter Thallon,Odie,
2020-02-27 22:22:39,18,2,1,1,0.7099237,0.81991524,Max Cohen,19,Max Cohen,Owen Marschall,Odie,,,
