Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2020-02-26 08:51:07,1,1,1,0,0.30152673,0.7295198,Victor Kao,3,,,,Gabe Stump,Sam Pollack,
2020-02-26 08:52:14,1,2,1,0,0.39694658,0.81920904,Victor Kao,3,,,,Jeff Voss,,
2020-02-26 08:52:52,1,3,1,0,1.0,0.8283898,Max Cohen,4,,,,Max Cohen,,
2020-02-26 08:54:30,1,4,1,1,0.3072519,0.43502825,Max Cohen,4,Max Cohen,Victor Kao,Evan Ma,,,
2020-02-26 08:55:31,2,1,0,1,0.059160307,0.61935025,Andrew Edelman,6,Josh Imhoff,Andrew Edelman,Sam Alston,,,
2020-02-26 08:57:03,3,1,0,1,0.18320611,0.8220339,Alon Brown,7,Alon Brown,Geo Zheng,Towell,,,
2020-02-26 08:59:23,5,1,1,0,0.5,0.6454802,Max Cohen,11,,,,Odie,,
2020-02-26 09:01:17,5,2,1,0,0.7003817,0.5084746,Max Cohen,6,,,,Max Cohen,,
2020-02-26 09:02:30,5,3,1,1,0.6450382,0.43361583,Carter Thallon,2,Carter Thallon,Odie,Owen Marschall,,,
2020-02-26 09:03:27,6,1,0,1,0.92748094,0.5444915,Andrew Edelman,2,Andrew Edelman,Swan,Stouf,,,
2020-02-26 09:05:36,7,1,0,0,0.27862597,0.58545196,Ruozhou Ye,6,,,,Josh Imhoff,,
2020-02-26 09:07:07,8,1,1,1,0.48664123,0.86723167,Victor Kao,3,Max Cohen,Eliot Bemis,Sam Pollack,,,
2020-02-26 09:08:23,9,1,0,1,0.08969466,0.5162429,Alon Brown,8,Juleon Robinson,Swan,Juleon Robinson,,,
2020-02-26 09:09:55,10,1,0,0,0.71564883,0.8905367,Sam Alston,1,,,,Sam Alston,,
2020-02-26 09:11:21,11,1,1,0,0.27480915,0.9004237,Owen Marschall,6,,,,Carter Thallon,,
2020-02-26 09:12:11,11,2,1,1,0.21183206,0.65536726,Owen Marschall,15,Victor Kao,Carter Thallon,Evan Ma,,,
2020-02-26 09:18:03,12,1,0,0,0.51717556,0.4463277,Ruozhou Ye,4,,,,Jon Kwan,,
2020-02-26 09:19:25,13,1,1,0,0.27671754,0.8905367,Evan Ma,3,,,,Ian McInerney,,
2020-02-26 09:20:12,13,2,1,0,0.4446565,0.84039545,Max Cohen,4,,,,Odie,,
2020-02-26 09:21:25,14,1,1,1,0.38549617,0.80508476,Owen Marschall,8,Evan Ma,Carter Thallon,Sam Pollack,,,
2020-02-26 09:23:46,16,1,1,1,0.27862597,0.7245763,Evan Ma,9,Evan Ma,Odie,Jeff Voss,,,
2020-02-26 09:25:42,18,1,1,0,0.55725193,0.83898306,Victor Kao,6,,,,Odie,,
2020-02-26 09:26:55,18,2,1,1,0.48282441,0.490113,Max Cohen,3,Gabe Stump,Odie,Owen Marschall,,,
2020-02-26 09:28:07,19,1,0,1,0.40648854,0.5127119,Ruozhou Ye,2,Ruozhou Ye,Carter Wang,Sam Alston,,,
2020-02-26 09:29:42,21,1,1,1,0.54770994,0.8467514,Victor Kao,9,Victor Kao,Eliot Bemis,Gabe Stump,,,
