Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2020-02-26 20:24:33,1,1,0,0,0.1870229,0.82274014,Andrew Edelman,4,,,,Andrew Edelman,,
2020-02-26 20:26:03,2,1,1,1,0.7041985,0.80225986,Victor Kao,5,Ian McInerney,Jeff Voss,Gabe Stump,,,
2020-02-26 20:27:57,4,1,1,1,0.4980916,0.78601694,Owen Marschall,7,Sam Pollack,Odie,Jeff Voss,,,
2020-02-26 20:30:04,6,1,1,0,0.4923664,0.82274014,Owen Marschall,3,,,,Gabe Stump,,
2020-02-26 20:32:02,7,1,0,1,0.2519084,0.8072034,Zero,2,Zero,Odie,Sam Alston,,,
2020-02-26 20:33:14,8,1,0,1,0.84160304,0.18079096,Ruozhou Ye,1,,Ruozhou Ye,Sam Alston,,,
2020-02-26 20:34:37,10,1,1,1,0.4522901,0.75635594,Owen Marschall,9,Eliot Bemis,Owen Marschall,Eliot Bemis,,,
2020-02-26 20:36:28,11,1,0,1,0.5610687,0.8298023,Andrew Edelman,9,Towell,Ruozhou Ye,Juleon Robinson,,,
2020-02-26 20:38:41,12,1,0,0,0.0629771,0.5487288,Andrew Edelman,1,,,,Andrew Edelman,,
2020-02-26 20:39:22,12,2,0,0,0.7099237,0.8079096,Ruozhou Ye,2,,,,Geo Zheng,,
2020-02-26 20:40:08,12,3,0,0,0.5133588,0.71892655,Andrew Edelman,10,,,,Ruozhou Ye,,
2020-02-26 22:36:26,13,1,1,0,0.6164122,0.87358755,Evan Ma,9,,,,Evan Ma,,
2020-02-26 22:39:28,14,1,1,1,0.51717556,0.74293786,Geo Zheng,12,Jesse Gan,Ruozhou Ye,Geo Zheng,,,
2020-02-26 22:42:46,16,1,1,0,0.52671754,0.6384181,Max Cohen,3,,,,Victor Kao,,
2020-02-26 22:45:03,16,2,1,0,0.5400763,0.7973164,Max Cohen,3,,,,Ian McInerney,,
2020-02-26 22:46:31,16,3,1,1,0.71183205,0.42372882,Max Cohen,5,Victor Kao,Max Cohen,Ian McInerney,,,
2020-02-26 22:48:07,17,1,0,0,0.35877863,0.82274014,Andrew Edelman,11,,,,Juleon Robinson,,
2020-02-26 22:50:34,18,1,1,1,0.22900763,0.7323446,Owen Marschall,3,Max Cohen,Sam Pollack,Jeff Voss,,,
2020-02-26 22:51:42,19,1,0,1,0.95229006,0.8241525,Ruozhou Ye,11,Geo Zheng,Andrew Edelman,Josh Imhoff,,,
