Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2020-02-18 18:40:13,1,1,1,0,0.5496183,0.80508476,,4,,,,,,
2020-02-18 18:41:15,2,1,1,1,0.29389313,0.740113,Owen Marschall,7,Max Cohen,Odie,Jeff Voss,,,
2020-02-18 18:44:41,4,1,1,0,0.46374047,0.76059324,Owen Marschall,2,,,,Max Cohen,Carter Thallon,
2020-02-18 18:46:04,4,2,1,1,0.9465649,0.4279661,Max Cohen,2,Max Cohen,Sam Pollack,Odie,,,
2020-02-18 18:47:15,5,1,0,1,0.28625953,0.8418079,Josh Imhoff,10,Carter Wang,Andrew Edelman,Sam Feder,,,
2020-02-18 18:49:15,6,1,0,1,0.259542,0.71539545,Alon Brown,2,Alon Brown,Andrew Edelman,Swan,,,
2020-02-18 18:50:58,8,1,1,0,0.21946564,0.740113,Geo Zheng,9,,,,Jeff Voss,Odie,
2020-02-18 18:52:04,8,2,1,0,0.8721374,0.81073445,Max Cohen,2,,,,,Geo Zheng,
2020-02-18 18:53:17,8,3,1,0,0.97900766,0.81850284,Max Cohen,6,,,,Owen Marschall,,
2020-02-18 18:54:10,8,4,1,1,0.44847327,0.18502825,Max Cohen,1,,Max Cohen,Carter Thallon,,,
2020-02-18 18:56:22,10,1,1,0,0.3625954,0.76836157,Max Cohen,6,,,,Jeff Voss,,
2020-02-18 18:57:25,10,2,1,1,0.049618322,0.44138417,Geo Zheng,7,Jeff Voss,Carter Thallon,Sam Pollack,,,
2020-02-18 18:59:06,12,1,1,0,0.58206105,0.7838983,Owen Marschall,4,,,,Odie,,
2020-02-18 18:59:56,12,2,1,1,0.70801526,0.26624295,Max Cohen,1,,Max Cohen,Odie,,,
2020-02-18 19:01:07,14,1,1,1,0.27862597,0.7252825,Owen Marschall,5,Jeff Voss,Carter Thallon,Odie,,,
