Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2020-02-26 22:56:25,1,1,1,1,0.26526716,0.8163842,Evan Ma,7,Carter Thallon,Odie,Eliot Bemis,,,
2020-02-26 22:57:59,2,1,0,1,0.3110687,0.29237288,Andrew Edelman,2,Andrew Edelman,Josh Imhoff,Sam Alston,,,
2020-02-26 22:58:49,3,1,0,0,0.6316794,0.6864407,Andrew Edelman,5,,,,Stouf,,
2020-02-26 23:00:19,3,2,0,0,0.5744275,0.43502825,Andrew Edelman,3,,,,Andrew Edelman,,
2020-02-26 23:08:08,4,1,1,0,0.21374045,0.86440676,Evan Ma,6,,,,Evan Ma,,
2020-02-26 23:10:21,5,1,0,0,0.6221374,0.8220339,Andrew Edelman,13,,,,Andrew Edelman,,
2020-02-26 23:11:42,5,2,0,1,0.78816795,0.81426555,Andrew Edelman,5,Jesse Gan,Ruozhou Ye,Josh Imhoff,,,
2020-02-26 23:13:06,6,1,0,0,0.59923667,0.7782486,Ruozhou Ye,2,,,,Swan,,
2020-02-26 23:13:39,6,2,0,1,0.40648854,0.8220339,Ruozhou Ye,5,Ruozhou Ye,Jeff Voss,Jon Kwan,,,
2020-02-26 23:15:49,7,1,0,1,0.7900763,0.4569209,Ruozhou Ye,2,Ruozhou Ye,Jon Kwan,Andrew Edelman,,,
2020-02-26 23:18:00,9,1,1,1,0.9293893,0.7019774,Owen Marschall,3,Max Cohen,Eliot Bemis,Carter Thallon,,,
2020-02-26 23:19:59,11,1,1,0,0.6164122,0.7351695,Victor Kao,10,,,,Victor Kao,,
2020-02-26 23:21:17,11,2,1,0,0.59160304,0.81920904,Evan Ma,16,,,,Odie,Owen Marschall,
2020-02-26 23:22:51,11,3,1,0,0.55725193,0.7987288,Owen Marschall,7,,,,,Ian McInerney,
2020-02-26 23:24:20,12,1,1,0,0.259542,0.8001412,Ruozhou Ye,4,,,,Ruozhou Ye,,
2020-02-26 23:25:17,13,1,1,1,0.65648854,0.7824859,Evan Ma,13,Max Cohen,Carter Thallon,Victor Kao,,,
2020-02-26 23:28:32,14,1,0,0,0.7557252,0.35310733,Ruozhou Ye,4,,,,Jesse Gan,,
2020-02-26 23:29:53,14,2,0,0,0.5610687,0.740113,Ruozhou Ye,6,,,,Eliot Bemis,Jesse Gan,
2020-02-26 23:30:55,14,3,0,1,0.620229,0.71963274,Ruozhou Ye,3,Eliot Bemis,Ruozhou Ye,Jon Kwan,,,
