Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2020-02-25 08:46:35,2,1,1,0,0.23854962,0.7464689,Owen Marschall,2,,,,Max Cohen,,
2020-02-25 08:47:08,2,2,1,1,0.6908397,0.82344633,Max Cohen,6,Eliot Bemis,Odie,Jeff Voss,,,
2020-02-25 08:48:30,3,1,0,1,0.29389313,0.3559322,Andrew Edelman,2,Andrew Edelman,Sam Alston,Ian McInerney,,,
2020-02-25 08:49:26,4,1,0,1,0.047709923,0.53954804,Jon Kwan,8,Alon Brown,Ruozhou Ye,Jon Kwan,,,
2020-02-25 08:51:25,5,1,0,1,0.34732825,0.5670904,Sam Alston,10,Andrew Edelman,Carter Wang,Eliot Bemis,,,
2020-02-25 08:53:10,6,1,0,1,0.65839696,0.4470339,Ruozhou Ye,2,Ruozhou Ye,Sam Feder,Ruozhou Ye,,,
2020-02-25 08:54:38,8,1,1,0,0.47137403,0.65254235,Victor Kao,2,,,,,Geo Zheng,
2020-02-25 08:57:22,9,1,1,1,0.7099237,0.7048023,Max Cohen,4,Odie,Eliot Bemis,Sam Pollack,,,
2020-02-25 08:58:46,10,1,0,1,0.3721374,0.7711864,Towell,11,Carter Wang,Sam Feder,Ruozhou Ye,,,
2020-02-25 09:01:25,12,1,1,0,0.6946565,0.81426555,Victor Kao,5,,,,Jeff Voss,,
2020-02-25 09:03:14,12,2,1,1,0.79198474,0.5614407,Max Cohen,1,,Max Cohen,Jeff Voss,,,
2020-02-25 09:06:02,13,1,1,1,0.8167939,0.63064975,Max Cohen,4,Eliot Bemis,Max Cohen,Odie,,,
2020-02-25 09:07:44,15,1,1,0,0.041984733,0.8262712,Max Cohen,8,,,,Max Cohen,,
2020-02-25 09:09:20,15,2,1,0,0.015267176,0.29237288,Max Cohen,1,,,,,Victor Kao,
2020-02-25 09:10:06,15,3,1,0,0.047709923,0.81991524,Max Cohen,1,,,,Max Cohen,,
2020-02-25 09:11:25,16,1,1,0,0.6946565,0.81850284,Max Cohen,7,,,,Victor Kao,,
2020-02-25 09:12:50,16,2,1,0,0.96755725,0.6730226,Max Cohen,1,,,,Max Cohen,Eliot Bemis,
2020-02-25 09:14:21,17,1,1,0,0.020992367,0.7634181,Ruozhou Ye,4,,,,Max Cohen,,
2020-02-25 09:15:50,17,2,1,0,0.040076334,0.81567794,Ruozhou Ye,2,,,,,Ruozhou Ye,
2020-02-25 09:16:34,17,3,1,1,0.047709923,0.8213277,Max Cohen,8,Odie,Eliot Bemis,Ruozhou Ye,,,
2020-02-25 23:04:57,19,1,1,0,0.39312977,0.8213277,Owen Marschall,9,,,,Jeff Voss,,
2020-02-25 23:07:56,20,1,1,1,0.9980916,0.6991525,Andrew Edelman,3,Victor Kao,Sam Feder,Odie,,,
2020-02-25 23:09:10,21,1,0,0,0.64312977,0.7048023,Andrew Edelman,3,,,,,Swan,
2020-02-25 23:10:48,21,2,0,0,0.057251908,0.83403957,Alon Brown,1,,,,Alon Brown,,
2020-02-25 23:11:32,21,3,0,1,0.20038168,0.50211865,Andrew Edelman,1,,Andrew Edelman,Swan,,,
2020-02-25 23:12:39,22,1,0,0,0.55725193,0.5338983,Andrew Edelman,1,,,,Andrew Edelman,,
2020-02-25 23:13:35,22,2,0,1,0.32061067,0.2641243,Ruozhou Ye,1,,Ruozhou Ye,Ian McInerney,,,
2020-02-25 23:15:09,23,1,0,1,0.7099237,0.19844633,Alon Brown,1,,Alon Brown,Ruozhou Ye,,,
2020-02-25 23:16:26,24,1,0,0,0.70229006,0.80579096,Alon Brown,8,,,,,Andrew Edelman,
2020-02-25 23:17:53,24,2,0,0,0.28435114,0.644774,Alon Brown,2,,,,Andrew Edelman,,
2020-02-25 23:18:27,24,3,0,1,0.5496183,0.72810733,Odie,13,Geo Zheng,Odie,Geo Zheng,,,
